web-scraper-order,web-scraper-start-url,item_link,item_link-href,item_name,product_id,item_description,item_ingredients,item_price,item_img-src,item_option,item_options_img-src
"1749021547-1","https://www.ediblearrangements.com/new-for-the-season","Available for 1-Hour DeliveryClass of 2025 Chocolate Covered Strawberries & Flowers Gift SetTwo Sizes Starting At$99.99","https://www.ediblearrangements.com/fruit-gifts/class-of-2025-chocolate-covered-strawberries-flowers-gift-set?ArrangementGroupID=667","Class of 2025 Chocolate Covered Strawberries & Flowers Gift Set","Product Code: 9144","With chocolate-covered strawberries and a bouquet that smells like freedom, send your graduate into the real world. It's a beautiful way to say ""Cheers, Class of 2025!"" Available with or without a vase.","[{""item_ingredients"":""Strawberries Dipped in Semisweet Chocolate with Red Swizzle""},{""item_ingredients"":""White Chocolate Molded Letter A""},{""item_ingredients"":""White Chocolate Molded Letter C""},{""item_ingredients"":""White Chocolate Molded Letter F""},{""item_ingredients"":""White Chocolate Molded Letter L""},{""item_ingredients"":""White Chocolate Molded Letter O""},{""item_ingredients"":""White Chocolate Molded Letter S""},{""item_ingredients"":""White Chocolate Molded Number 2""},{""item_ingredients"":""White Chocolate Molded Number 0""},{""item_ingredients"":""White Chocolate Molded Number 4""}]","$114.98","https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/9144_6981_Class_of_2025_Chocolate_Covered_Strawberries_and_Flowers_Gift_Set_vase_MAY.webp","Single with Clear Vase","https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/9144_6981_Class_of_2025_Chocolate_Covered_Strawberries_and_Flowers_Gift_Set_vase_MAY.webp"
"1749021547-2","https://www.ediblearrangements.com/new-for-the-season","Available for 1-Hour DeliveryClass of 2025 Chocolate Covered Strawberries & Flowers Gift SetTwo Sizes Starting At$99.99","https://www.ediblearrangements.com/fruit-gifts/class-of-2025-chocolate-covered-strawberries-flowers-gift-set?ArrangementGroupID=667","Class of 2025 Chocolate Covered Strawberries & Flowers Gift Set","Product Code: 9144","With chocolate-covered strawberries and a bouquet that smells like freedom, send your graduate into the real world. It's a beautiful way to say ""Cheers, Class of 2025!"" Available with or without a vase.","[{""item_ingredients"":""Strawberries Dipped in Semisweet Chocolate with Red Swizzle""},{""item_ingredients"":""White Chocolate Molded Letter A""},{""item_ingredients"":""White Chocolate Molded Letter C""},{""item_ingredients"":""White Chocolate Molded Letter F""},{""item_ingredients"":""White Chocolate Molded Letter L""},{""item_ingredients"":""White Chocolate Molded Letter O""},{""item_ingredients"":""White Chocolate Molded Letter S""},{""item_ingredients"":""White Chocolate Molded Number 2""},{""item_ingredients"":""White Chocolate Molded Number 0""},{""item_ingredients"":""White Chocolate Molded Number 4""}]","$99.99","https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/9144_6981_Class_of_2025_Chocolate_Covered_Strawberries_and_Flowers_Gift_Set_vase_MAY.webp","Single Bouquet","https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/9144_6981_Class_of_2025_Chocolate_Covered_Strawberries_and_Flowers_Gift_Set_angled_MAY.webp"
"1749021549-3","https://www.ediblearrangements.com/new-for-the-season","Available for 1-Hour DeliveryGraduation Celebration® & Balloon Bouquet Gift SetThree Sizes Starting At$136.97","https://www.ediblearrangements.com/fruit-gifts/graduation-celebration-balloon-bouquet-gift-set-9549?ArrangementGroupID=667","Graduation Celebration® & Balloon Bouquet Gift Set","Product Code: 9549","Celebrate the grad's mortarboard throw with a gift that will keep their spirits sky high. For a true eat-your-heart-out moment, it comes with a fruit assortment topped with edible numbers. A bouquet of balloons adds more life to the party.","[{""item_ingredients"":""Honeydew Wedges""},{""item_ingredients"":""Cantaloupe Wedges""},{""item_ingredients"":""Pineapple Daisies""},{""item_ingredients"":""Pineapple Stars""},{""item_ingredients"":""Strawberries""},{""item_ingredients"":""Cantaloupe Balls""},{""item_ingredients"":""Pineapple Number 2""},{""item_ingredients"":""Pineapple Number 5""},{""item_ingredients"":""Pineapple Zero""}]","$152.98","https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/9549_7211_Graduation_Celebration_and_Balloon_Bouquet_Gift_Set_lg.webp","Large","https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/9549_7211_Graduation_Celebration_and_Balloon_Bouquet_Gift_Set_lg.webp"
"1749021549-4","https://www.ediblearrangements.com/new-for-the-season","Available for 1-Hour DeliveryGraduation Celebration® & Balloon Bouquet Gift SetThree Sizes Starting At$136.97","https://www.ediblearrangements.com/fruit-gifts/graduation-celebration-balloon-bouquet-gift-set-9549?ArrangementGroupID=667","Graduation Celebration® & Balloon Bouquet Gift Set","Product Code: 9549","Celebrate the grad's mortarboard throw with a gift that will keep their spirits sky high. For a true eat-your-heart-out moment, it comes with a fruit assortment topped with edible numbers. A bouquet of balloons adds more life to the party.","[{""item_ingredients"":""Honeydew Wedges""},{""item_ingredients"":""Cantaloupe Wedges""},{""item_ingredients"":""Pineapple Daisies""},{""item_ingredients"":""Pineapple Stars""},{""item_ingredients"":""Strawberries""},{""item_ingredients"":""Cantaloupe Balls""},{""item_ingredients"":""Pineapple Number 2""},{""item_ingredients"":""Pineapple Number 5""},{""item_ingredients"":""Pineapple Zero""}]","$147.98","https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/9549_7211_Graduation_Celebration_and_Balloon_Bouquet_Gift_Set_lg.webp","Regular","https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/9549_7211_Graduation_Celebration_and_Balloon_Bouquet_Gift_Set_rg.webp"
"1749021549-5","https://www.ediblearrangements.com/new-for-the-season","Available for 1-Hour DeliveryGraduation Celebration® & Balloon Bouquet Gift SetThree Sizes Starting At$136.97","https://www.ediblearrangements.com/fruit-gifts/graduation-celebration-balloon-bouquet-gift-set-9549?ArrangementGroupID=667","Graduation Celebration® & Balloon Bouquet Gift Set","Product Code: 9549","Celebrate the grad's mortarboard throw with a gift that will keep their spirits sky high. For a true eat-your-heart-out moment, it comes with a fruit assortment topped with edible numbers. A bouquet of balloons adds more life to the party.","[{""item_ingredients"":""Honeydew Wedges""},{""item_ingredients"":""Cantaloupe Wedges""},{""item_ingredients"":""Pineapple Daisies""},{""item_ingredients"":""Pineapple Stars""},{""item_ingredients"":""Strawberries""},{""item_ingredients"":""Cantaloupe Balls""},{""item_ingredients"":""Pineapple Number 2""},{""item_ingredients"":""Pineapple Number 5""},{""item_ingredients"":""Pineapple Zero""}]","$136.97","https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/9549_7211_Graduation_Celebration_and_Balloon_Bouquet_Gift_Set_lg.webp","Small","https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/9549_7211_Graduation_Celebration_and_Balloon_Bouquet_Gift_Set_sm.webp"
"1749021552-6","https://www.ediblearrangements.com/new-for-the-season","Available for 1-Hour DeliveryGraduation Celebration BundleOne Size$89.98","https://www.ediblearrangements.com/fruit-gifts/graduation-celebration-bundle?ArrangementGroupID=667","Graduation Celebration Bundle","Product Code: 7054","Life moves fast for a grad. Arriving in a burst of sequin sprinkles, this graduation gift is a sweet reminder to pause and celebrate years (and years, and years) of hard work. With a strawberry and pineapple fruit assortment and bouquet of balloons, your hardy congratulations will be seen, heard, and tasted.","[{""item_ingredients"":""Strawberries""},{""item_ingredients"":""Semisweet Chocolate Dipped Pineapple Daisies""},{""item_ingredients"":""Pineapple Daisies""},{""item_ingredients"":""Fresh Grapes""},{""item_ingredients"":""Semisweet Chocolate Dipped Apple Wedges""},{""item_ingredients"":""Semisweet Chocolate Dipped Strawberries with Sprinkles""},{""item_ingredients"":""Pineapple 2 Semi Confetti""},{""item_ingredients"":""Pineapple 0 Semi Confetti""},{""item_ingredients"":""Pineapple 5 Semi Confetti""}]","$89.98","https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/7054_5780_Graduation_Celebration_Bundle.webp","One Size","https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/7054_5780_Graduation_Celebration_Bundle.webp"
"1749021554-7","https://www.ediblearrangements.com/new-for-the-season","Class of 2025 Chocolate Covered StrawberriesOne Size$59.99","https://www.ediblearrangements.com/fruit-gifts/class-of-2025-chocolate-covered-strawberries?ArrangementGroupID=667","Class of 2025 Chocolate Covered Strawberries","Product Code: 9141","Say it with us: “Congrats, Class of 2025!” Now let the celebration begin. This treat box will start the woot-woots and rah-rah. It’s filled with hand-dipped and swizzled strawberries to show that sweets are always the best reward for big accomplishments.","[{""item_ingredients"":""Strawberries Dipped in Semisweet Chocolate with Red Swizzle""},{""item_ingredients"":""White Chocolate Molded Letter A""},{""item_ingredients"":""White Chocolate Molded Letter C""},{""item_ingredients"":""White Chocolate Molded Letter F""},{""item_ingredients"":""White Chocolate Molded Letter L""},{""item_ingredients"":""White Chocolate Molded Letter O""},{""item_ingredients"":""White Chocolate Molded Letter S""},{""item_ingredients"":""White Chocolate Molded Number 2""},{""item_ingredients"":""White Chocolate Molded Number 0""},{""item_ingredients"":""White Chocolate Molded Number 4""}]","$59.99","https://resources.ediblearrangements.com/resources/en-us/i/a/o_newClass_of_2025_Chocolate_Covered_Strawberries_.jpg","One Size","https://resources.ediblearrangements.com/resources/en-us/i/a/o_newClass_of_2025_Chocolate_Covered_Strawberries_.jpg"
"1749021557-8","https://www.ediblearrangements.com/new-for-the-season","Available for 1-Hour DeliveryClass of 2025 Dessert Platter & Flowers Gift SetTwo Sizes Starting At$99.99","https://www.ediblearrangements.com/fruit-gifts/class-of-2025-dessert-platter-flowers-gift-set?ArrangementGroupID=667","Class of 2025 Dessert Platter & Flowers Gift Set","Product Code: 9142","Send your grad off into the world with the essentials: flowers and fruit (of course). This gift set includes a platter of assorted and hand-crafted strawberries and blueberries, and a fresh floral bouquet. Congratulations class of 2025! Available with or without a vase.","[{""item_ingredients"":""Strawberries Dipped in Semisweet Chocolate with Red Swizzle""},{""item_ingredients"":""White Chocolate Molded Letter A""},{""item_ingredients"":""White Chocolate Molded Letter C""},{""item_ingredients"":""White Chocolate Molded Letter F""},{""item_ingredients"":""White Chocolate Molded Letter L""},{""item_ingredients"":""White Chocolate Molded Letter O""},{""item_ingredients"":""White Chocolate Molded Letter S""},{""item_ingredients"":""White Chocolate Molded Number 2""},{""item_ingredients"":""White Chocolate Molded Number 0""},{""item_ingredients"":""Blueberries""},{""item_ingredients"":""White Chocolate Molded Number 4""}]","$114.98","https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/9142_6979_Class_of_2025_Dessert_Platter_and_Flowers_Gift_Set_vase_MAY.webp","Single with Clear Vase","https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/9142_6979_Class_of_2025_Dessert_Platter_and_Flowers_Gift_Set_vase_MAY.webp"
"1749021557-9","https://www.ediblearrangements.com/new-for-the-season","Available for 1-Hour DeliveryClass of 2025 Dessert Platter & Flowers Gift SetTwo Sizes Starting At$99.99","https://www.ediblearrangements.com/fruit-gifts/class-of-2025-dessert-platter-flowers-gift-set?ArrangementGroupID=667","Class of 2025 Dessert Platter & Flowers Gift Set","Product Code: 9142","Send your grad off into the world with the essentials: flowers and fruit (of course). This gift set includes a platter of assorted and hand-crafted strawberries and blueberries, and a fresh floral bouquet. Congratulations class of 2025! Available with or without a vase.","[{""item_ingredients"":""Strawberries Dipped in Semisweet Chocolate with Red Swizzle""},{""item_ingredients"":""White Chocolate Molded Letter A""},{""item_ingredients"":""White Chocolate Molded Letter C""},{""item_ingredients"":""White Chocolate Molded Letter F""},{""item_ingredients"":""White Chocolate Molded Letter L""},{""item_ingredients"":""White Chocolate Molded Letter O""},{""item_ingredients"":""White Chocolate Molded Letter S""},{""item_ingredients"":""White Chocolate Molded Number 2""},{""item_ingredients"":""White Chocolate Molded Number 0""},{""item_ingredients"":""Blueberries""},{""item_ingredients"":""White Chocolate Molded Number 4""}]","$99.99","https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/9142_6979_Class_of_2025_Dessert_Platter_and_Flowers_Gift_Set_vase_MAY.webp","Single Bouquet","https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/9142_6979_Class_of_2025_Dessert_Platter_and_Flowers_Gift_Set_angled_MAY.webp"
"1749021559-10","https://www.ediblearrangements.com/new-for-the-season","Available for 1-Hour DeliveryGraduation Delicious Celebration Gift SetThree Sizes Starting At$148.97","https://www.ediblearrangements.com/fruit-gifts/graduation-delicious-celebration-gift-set?ArrangementGroupID=667","Graduation Delicious Celebration Gift Set","Product Code: 7055","Cap? Check. Gown? Check. Go-out-and-conquer-the-world attitude? We'll let you decide. But your grad will have no problem conquering this bundle of sweet treats. It's the perfect post-ceremony surprise or a star guest at the party with its bright, pineapple-and-strawberry burst of congratulations. Available in three sizes.","[{""item_ingredients"":""Honeydew Wedges""},{""item_ingredients"":""Cantaloupe Wedges""},{""item_ingredients"":""Strawberries""},{""item_ingredients"":""Semisweet Chocolate Dipped Strawberries""},{""item_ingredients"":""Cantaloupe Balls""},{""item_ingredients"":""Pineapple Number 2""},{""item_ingredients"":""Pineapple Zero""},{""item_ingredients"":""Semisweet Chocolate Dipped Strawberries""},{""item_ingredients"":""Semisweet Chocolate Dipped Apple Wedges""},{""item_ingredients"":""Semisweet Chocolate Dipped Pineapple Daisies""},{""item_ingredients"":""Semisweet Chocolate Dipped Pineapple Daisies""},{""item_ingredients"":""Semisweet Chocolate Dipped Pineapple Stars""},{""item_ingredients"":""Pineapple Number 5""}]","$180.97","https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/7055_5781_Graduation_Delicious_Celebration_Gift_Set_lg.webp","Large","https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/7055_5781_Graduation_Delicious_Celebration_Gift_Set_lg.webp"
