Handle;Title;Body (HTML);Included in Online Store;Image Src;Option1 Name;Option1 Value;Option2 Name;Option2 Value;Option3 Name;Option3 Value;Variant Price;Variant Compare At Price;Track Inventory;;;;;Allow Out of Stock Purchases;Available Quantity;SKU;Weight Value;Weight Unit;Dimension Length;Dimension Width;Dimension Height;Dimension Unit;Product Label Enable;Label Title;Label Start Date;Label End Date;SEO Title;SEO Description
product-code-3075;Chocolate Dipped Strawberries Box;Our legendary chocolate-covered strawberries. A dozen of them. Need we say more? Oh, right. Treat yourself! Delightfully indulgent and ready to satisfy any sweet tooth, this chocolate-covered strawberry box is a tried-and-true classic that you can also send as a sweet gift or surprise.;TRUE;https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/3075_2727_Chocolate_Dipped_Strawberries_Box_12ct_everyday_s.webp;Option;;;;;;$49.99;;TRUE;;;;;FALSE;150;;;;;;;;;;;;Chocolate Dipped Strawberries Box;Our legendary chocolate-covered strawberries. A dozen of them. Need we say more? Oh, right. Treat yourself! Delightfully indulgent and ready to satisfy any
product-code-6432;Mother's Day Assortment Berry Box;Juicy strawberries bathed in chocolate are the flavor du jour in this pretty box. It’s meant for the mom that has it all — including great taste.;TRUE;https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/6432_5482_Mothers_Day_Assortment_Berry_Box_12ct.webp;Option;1 - 12ct box;;;;;$51.99;;TRUE;;;;;FALSE;150;;;;;;;;;;;;Mother's Day Assortment Berry Box;Juicy strawberries bathed in chocolate are the flavor du jour in this pretty box. It’s meant for the mom that has it all — including great taste.
product-code-6444;Mother's Day Deluxe Celebration Arrangement;Send sweet Mother's Day wishes from near or far with our Mother's Day Deluxe Celebration. Each blissful bite of fruit is worth one ignored phone call (or two texts left on read).;TRUE;https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/6444_5478_Mothers_Day_Deluxe_Celebration_Arrangement_A_s.webp;Option;Janes Garden;;;;;$139.99;;TRUE;;;;;FALSE;150;;;;;;;;;;;;Mother's Day Deluxe Celebration Arrangement;Send sweet Mother's Day wishes from near or far with our Mother's Day Deluxe Celebration. Each blissful bite of fruit is worth one ignored phone call (or t
product-code-6444;;;;https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/6444_5478_Mothers_Day_Deluxe_Celebration_Arrangement_B_s.webp;;Modern Mosaic;;;;;$139.99;;TRUE;;;;;FALSE;150;;;;;;;;;;;;Mother's Day Deluxe Celebration Arrangement;Send sweet Mother's Day wishes from near or far with our Mother's Day Deluxe Celebration. Each blissful bite of fruit is worth one ignored phone call (or t
product-code-6445;Mother's Day Celebration Arrangement;Send sweet Mother's Day wishes from near or far with our Mother's Day Celebration. Each blissful bite of fruit is worth one ignored phone call (or two texts left on read).;TRUE;https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/6445_5479_Mothers_Day_Celebration_Arrangement_MOM_s.webp;Option;MOM;;;;;$89.99;;TRUE;;;;;FALSE;150;;;;;;;;;;;;Mother's Day Celebration Arrangement;Send sweet Mother's Day wishes from near or far with our Mother's Day Celebration. Each blissful bite of fruit is worth one ignored phone call (or two text
product-code-6445;;;;https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/6445_5479_Mothers_Day_Celebration_Arrangement_MAMA_s.webp;;MAMA;;;;;$89.99;;TRUE;;;;;FALSE;150;;;;;;;;;;;;Mother's Day Celebration Arrangement;Send sweet Mother's Day wishes from near or far with our Mother's Day Celebration. Each blissful bite of fruit is worth one ignored phone call (or two text
product-code-6479;#1 Mom Fruit Arrangement;Mom has always been the star of the show. Give her the marquee treatment with a sweet, seasonal fruit bouquet that has that “wow” factor. It’s a true centerpiece for her special day.;TRUE;https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/6479_5507_No1_Mom_Fruit_Arrangement_MOM_s.webp;Option;MOM;;;;;$69.99;;TRUE;;;;;FALSE;150;;;;;;;;;;;;#1 Mom Fruit Arrangement;Mom has always been the star of the show. Give her the marquee treatment with a sweet, seasonal fruit bouquet that has that “wow” factor. It’s a true cente
product-code-6479;;;;https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/6479_5507_No1_Mom_Fruit_Arrangement_daisy_s.webp;;Daisy;;;;;$59.99;;TRUE;;;;;FALSE;150;;;;;;;;;;;;#1 Mom Fruit Arrangement;Mom has always been the star of the show. Give her the marquee treatment with a sweet, seasonal fruit bouquet that has that “wow” factor. It’s a true cente
product-code-7077;Mother's Day Celebration & Balloons;Mother's Day magic isn't going to make itself (but sending our Mother's Day Celebration & Balloons sure is a sweet shortcut). Our blissfully sweet chocolate-dipped strawberries add a tasty surprise.    Celebración del día de la madre y globos     El día de las madres no será mágico por sí solo (pero nuestra celebración del día de la madre y globos seguro es un dulce acierto). Nuestras deliciosas fresas bañadas en chocolate son una sorpresa deliciosa.;TRUE;https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/7077_5794_Mothers_Day_Celebration_and_Balloon_Bouquet_MOM.webp;Option;MOM;;;;;$109.98;;TRUE;;;;;FALSE;150;;;;;;;;;;;;Mother's Day Celebration & Balloons;Mother's Day magic isn't going to make itself (but sending our Mother's Day Celebration & Balloons sure is a sweet shortcut). Our blissfully sweet chocolat
product-code-7077;;;;https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/7077_5794_Mothers_Day_Celebration_and_Balloon_Bouquet_MAMA.webp;;MAMA;;;;;$109.98;;TRUE;;;;;FALSE;150;;;;;;;;;;;;Mother's Day Celebration & Balloons;Mother's Day magic isn't going to make itself (but sending our Mother's Day Celebration & Balloons sure is a sweet shortcut). Our blissfully sweet chocolat
